time,volume,open,high,low,close
2020-04-20T12:00:00.000000000Z,5459,1.08562,1.08682,1.08499,1.08627
2020-04-20T13:00:00.000000000Z,6651,1.08628,1.08709,1.08500,1.08646
2020-04-20T14:00:00.000000000Z,7856,1.08644,1.08873,1.08616,1.08810
2020-04-20T15:00:00.000000000Z,5281,1.08811,1.08846,1.08690,1.08726
2020-04-20T16:00:00.000000000Z,3561,1.08725,1.08842,1.08696,1.08703
2020-04-20T17:00:00.000000000Z,2670,1.08704,1.08732,1.08628,1.08686
2020-04-20T18:00:00.000000000Z,3164,1.08688,1.08712,1.08580,1.08612
2020-04-20T19:00:00.000000000Z,3068,1.08612,1.08670,1.08568,1.08570
2020-04-20T20:00:00.000000000Z,1228,1.08568,1.08655,1.08553,1.08630
2020-04-20T21:00:00.000000000Z,222,1.08630,1.08708,1.08612,1.08688
2020-04-20T22:00:00.000000000Z,735,1.08689,1.08689,1.08624,1.08644
2020-04-20T23:00:00.000000000Z,378,1.08643,1.08656,1.08607,1.08639
2020-04-21T00:00:00.000000000Z,1432,1.08638,1.08642,1.08536,1.08561
2020-04-21T01:00:00.000000000Z,1424,1.08563,1.08594,1.08456,1.08461
2020-04-21T02:00:00.000000000Z,2885,1.08460,1.08484,1.08259,1.08310
2020-04-21T03:00:00.000000000Z,1372,1.08309,1.08384,1.08298,1.08376
2020-04-21T04:00:00.000000000Z,930,1.08375,1.08390,1.08300,1.08331
2020-04-21T05:00:00.000000000Z,1693,1.08330,1.08422,1.08286,1.08414
2020-04-21T06:00:00.000000000Z,4048,1.08413,1.08460,1.08360,1.08392
2020-04-21T07:00:00.000000000Z,5570,1.08394,1.08438,1.08268,1.08307
2020-04-21T08:00:00.000000000Z,4996,1.08306,1.08472,1.08202,1.08373
2020-04-21T09:00:00.000000000Z,7119,1.08376,1.08534,1.08305,1.08327
2020-04-21T10:00:00.000000000Z,5496,1.08326,1.08390,1.08230,1.08324
2020-04-21T11:00:00.000000000Z,4719,1.08326,1.08384,1.08254,1.08324
2020-04-21T12:00:00.000000000Z,6111,1.08325,1.08440,1.08246,1.08291
2020-04-21T13:00:00.000000000Z,9688,1.08292,1.08746,1.08165,1.08705
2020-04-21T14:00:00.000000000Z,10488,1.08707,1.08804,1.08436,1.08594
2020-04-21T15:00:00.000000000Z,6799,1.08592,1.08732,1.08535,1.08538
2020-04-21T16:00:00.000000000Z,5942,1.08540,1.08616,1.08437,1.08444
2020-04-21T17:00:00.000000000Z,4016,1.08442,1.08504,1.08418,1.08448
2020-04-21T18:00:00.000000000Z,4066,1.08447,1.08569,1.08418,1.08528
2020-04-21T19:00:00.000000000Z,3329,1.08529,1.08660,1.08505,1.08593
2020-04-21T20:00:00.000000000Z,975,1.08594,1.08628,1.08560,1.08578
2020-04-21T21:00:00.000000000Z,124,1.08578,1.08626,1.08575,1.08588
2020-04-21T22:00:00.000000000Z,357,1.08580,1.08589,1.08528,1.08540
2020-04-21T23:00:00.000000000Z,340,1.08542,1.08574,1.08527,1.08566
2020-04-22T00:00:00.000000000Z,1053,1.08567,1.08606,1.08494,1.08552
2020-04-22T01:00:00.000000000Z,1153,1.08554,1.08609,1.08478,1.08492
2020-04-22T02:00:00.000000000Z,1402,1.08490,1.08582,1.08468,1.08524
2020-04-22T03:00:00.000000000Z,718,1.08523,1.08536,1.08484,1.08508
2020-04-22T04:00:00.000000000Z,723,1.08507,1.08516,1.08452,1.08464
2020-04-22T05:00:00.000000000Z,1007,1.08462,1.08566,1.08454,1.08556
2020-04-22T06:00:00.000000000Z,3708,1.08556,1.08696,1.08511,1.08590
2020-04-22T07:00:00.000000000Z,4782,1.08589,1.08737,1.08532,1.08558
2020-04-22T08:00:00.000000000Z,3674,1.08557,1.08653,1.08515,1.08598
2020-04-22T09:00:00.000000000Z,3956,1.08599,1.08697,1.08591,1.08600
2020-04-22T10:00:00.000000000Z,2501,1.08601,1.08722,1.08575,1.08706
2020-04-22T11:00:00.000000000Z,4564,1.08708,1.08854,1.08672,1.08764
2020-04-22T12:00:00.000000000Z,5282,1.08766,1.08774,1.08622,1.08687
2020-04-22T13:00:00.000000000Z,6500,1.08686,1.08718,1.08504,1.08516
2020-04-22T14:00:00.000000000Z,7448,1.08518,1.08558,1.08256,1.08294
2020-04-22T15:00:00.000000000Z,4776,1.08294,1.08344,1.08206,1.08292
2020-04-22T16:00:00.000000000Z,3409,1.08291,1.08292,1.08100,1.08158
2020-04-22T17:00:00.000000000Z,3356,1.08156,1.08172,1.08032,1.08141
2020-04-22T18:00:00.000000000Z,2403,1.08142,1.08258,1.08126,1.08198
2020-04-22T19:00:00.000000000Z,2221,1.08199,1.08238,1.08133,1.08182
2020-04-22T20:00:00.000000000Z,1149,1.08180,1.08240,1.08148,1.08236
2020-04-22T21:00:00.000000000Z,59,1.08230,1.08238,1.08200,1.08238
2020-04-22T22:00:00.000000000Z,273,1.08235,1.08242,1.08210,1.08233
2020-04-22T23:00:00.000000000Z,715,1.08234,1.08234,1.08058,1.08063
2020-04-23T00:00:00.000000000Z,1237,1.08064,1.08142,1.08048,1.08113
2020-04-23T01:00:00.000000000Z,1265,1.08114,1.08220,1.08112,1.08182
2020-04-23T02:00:00.000000000Z,1066,1.08180,1.08180,1.08084,1.08115
2020-04-23T03:00:00.000000000Z,663,1.08116,1.08120,1.08080,1.08094
2020-04-23T04:00:00.000000000Z,644,1.08092,1.08166,1.08089,1.08156
2020-04-23T05:00:00.000000000Z,1991,1.08158,1.08342,1.08158,1.08295
2020-04-23T06:00:00.000000000Z,5068,1.08296,1.08344,1.08115,1.08167
2020-04-23T07:00:00.000000000Z,7878,1.08166,1.08197,1.07844,1.07965
2020-04-23T08:00:00.000000000Z,6059,1.07962,1.08030,1.07903,1.07962
2020-04-23T09:00:00.000000000Z,4932,1.07960,1.07995,1.07690,1.07736
2020-04-23T10:00:00.000000000Z,5934,1.07735,1.07780,1.07562,1.07756
2020-04-23T11:00:00.000000000Z,6291,1.07754,1.07924,1.07636,1.07662
2020-04-23T12:00:00.000000000Z,6913,1.07663,1.07947,1.07654,1.07884
2020-04-23T13:00:00.000000000Z,8445,1.07882,1.08036,1.07809,1.07942
2020-04-23T14:00:00.000000000Z,13699,1.07944,1.08468,1.07915,1.08278
2020-04-23T15:00:00.000000000Z,6971,1.08280,1.08376,1.08082,1.08138
2020-04-23T16:00:00.000000000Z,5073,1.08138,1.08189,1.08086,1.08138
2020-04-23T17:00:00.000000000Z,9097,1.08138,1.08144,1.07646,1.07652
2020-04-23T18:00:00.000000000Z,4944,1.07651,1.07874,1.07620,1.07855
2020-04-23T19:00:00.000000000Z,3533,1.07854,1.07888,1.07794,1.07822
2020-04-23T20:00:00.000000000Z,1975,1.07824,1.07828,1.07650,1.07777
2020-04-23T21:00:00.000000000Z,245,1.07770,1.07845,1.07748,1.07791
2020-04-23T22:00:00.000000000Z,363,1.07786,1.07804,1.07770,1.07800
2020-04-23T23:00:00.000000000Z,605,1.07801,1.07802,1.07738,1.07745
2020-04-24T00:00:00.000000000Z,2484,1.07746,1.07793,1.07614,1.07664
2020-04-24T01:00:00.000000000Z,1561,1.07662,1.07697,1.07633,1.07666
2020-04-24T02:00:00.000000000Z,1207,1.07667,1.07746,1.07661,1.07714
2020-04-24T03:00:00.000000000Z,687,1.07712,1.07716,1.07666,1.07713
